Episode Number,Episode Title,Question
1,1: The Debut: Do You Pee on Your Own Head?,Will we go to Ava's wedding?
1,1: The Debut: Do You Pee on Your Own Head?,Have you ever peed on your own head?
1,1: The Debut: Do You Pee on Your Own Head?,What's going on with Mars?
1,1: The Debut: Do You Pee on Your Own Head?,Also...AFC Wimbledon?
20,20: This Episode Contains Puke,Should I cave to my parents and have them at my wedding?
20,20: This Episode Contains Puke,Are we just cats?
20,20: This Episode Contains Puke,Why does 98 degrees feel hot if that's my body temperature?
21,21: Who Am I?,Halloween costume advice. Does John think people are evil?
21,21: Who Am I?,Misunderstanding Risk. Advice for referees of kids soccer games. Would the Bat Signal actually work?
21,21: Who Am I?,How does the stock market work?
22,22: Post-Menopausal Cousin Marriage,How should toilet paper be dispensed?
22,22: Post-Menopausal Cousin Marriage,"Help! My fingers are glued together! If you hover a helicopter in the same place for 24 hours, why don't you travel around the earth?"
22,22: Post-Menopausal Cousin Marriage,What food weird combinations do you like?
22,22: Post-Menopausal Cousin Marriage,What should I do if a scholarship requires me to read Ayn Rand?
23,23: OH MY GOD IT'S BURNING,Why do different trees change color at different times?
23,23: OH MY GOD IT'S BURNING,What if a friend isn't creating their creative work that you love?
23,23: OH MY GOD IT'S BURNING,Some advice for job and scholarship interviews. How do I express empathy properly?
23,23: OH MY GOD IT'S BURNING,How should I feel about getting worse at Tetris?
24,24: The Great Finger Licking Debate,How do you learn new things as an adult?
24,24: The Great Finger Licking Debate,Oral surgery advice?
25,25: LIVE IN NEW YORK it's NARS MEWS!,Why are we so obsessed with zombies?
25,25: LIVE IN NEW YORK it's NARS MEWS!,What do you do if your dentist tries to talk to you when you obviously can't talk?
25,25: LIVE IN NEW YORK it's NARS MEWS!,How do beat my girlfriend's gift skills?
25,25: LIVE IN NEW YORK it's NARS MEWS!,Should I try to re-kindle a friendship with someone who I did something nasty to?
26,26: Should I Make Out with My Roommate?,How do I choose an ethical engagement ring?
26,26: Should I Make Out with My Roommate?,There's a wasp trapped in my dorm room! How do I know which arm rest is mine at the movie theater?
27,27: Giving Gifts without Breaking the Bank,"Did we discover the periodic table, or did we invent it?"
27,27: Giving Gifts without Breaking the Bank,How do you start running a business with friends?
27,27: Giving Gifts without Breaking the Bank,How would one go about crashing the moon into the Earth?
27,27: Giving Gifts without Breaking the Bank,Is an emoji a word?
27,27: Giving Gifts without Breaking the Bank,"And finally, most importantly, when is it ok to start listening to Holiday music?"
28,28: John's Top Ten Probable Apocalypse List,Why are there no feral cows?
28,28: John's Top Ten Probable Apocalypse List,What are you looking at?
28,28: John's Top Ten Probable Apocalypse List,"Should you say ""Bless You"" when someone coughs?"
28,28: John's Top Ten Probable Apocalypse List,What would happen if the magnetic poles reversed?
28,28: John's Top Ten Probable Apocalypse List,How do I keep my nerves from getting the best of me (while playing competitive Pokemon)?
28,28: John's Top Ten Probable Apocalypse List,What can we do to make the conversation around religion less awful?
29,29: Barbershop Genghis,Do you need to be a Patreon supporter to get your question answered?
29,29: Barbershop Genghis,How do I make my partner comfortable at his first Christmas with my family?
29,29: Barbershop Genghis,Why are mini-M&Ms better than the regular kind?
29,29: Barbershop Genghis,Why do we always assume life needs water?
30,30: Ending the Hiaaeetus!,What do you do when your couple friends stop hanging with single you?
30,30: Ending the Hiaaeetus!,Should we imagine evil people complexly?
30,30: Ending the Hiaaeetus!,Could you light Saturn on fire?
30,30: Ending the Hiaaeetus!,How long could humans survive only eating humans?
31,31: Breakin' the Law (and Being Good.),Should I give up on my dreams of changing the world?
31,31: Breakin' the Law (and Being Good.),Is mayonnaise an instrument?
31,31: Breakin' the Law (and Being Good.),Why are DVD cases not squares?
31,31: Breakin' the Law (and Being Good.),Can you burn a cucumber?
31,31: Breakin' the Law (and Being Good.),Does the moon have Earth eclipses?
31,31: Breakin' the Law (and Being Good.),Do you have anonymous social profiles?
32,32: Broccoli-Flavored Chocolate,Can create fresh water by boiling the sea with a giant magnifying glass?
32,32: Broccoli-Flavored Chocolate,Is suffering necessary for us to appreciate the beauty in life?
32,32: Broccoli-Flavored Chocolate,What about asteroids and super-volcanos! Should a heart be judged by how much it loves or by how much it's loved?
33,33: Putting Water in Cereal?!,Why do we fall for clickbait?
33,33: Putting Water in Cereal?!,Why do smells become normal?
33,33: Putting Water in Cereal?!,"Why do we call aluminum foil ""tin foil?"
33,33: Putting Water in Cereal?!,""" Why do people always ask where I'm from?"
33,33: Putting Water in Cereal?!,My name is boring! Are four-sided bananas safe to eat?
34,34: YouTube Freaky Friday,Can I eat expired Mac N Cheese?
34,34: YouTube Freaky Friday,What would you do if you only had 300 subscribers on YouTube?
34,34: YouTube Freaky Friday,Is a kitty on my lap an excuse for tardiness?
34,34: YouTube Freaky Friday,What if you dumped the sun into a massive MASSIVE bucket of water?
34,34: YouTube Freaky Friday,What do you do when someone asks you a question that you aren't ready to answer?
35,35: Should I Get Baptized if I Don't Believe?,Am I Lisa Turtle or Screech?
35,35: Should I Get Baptized if I Don't Believe?,What would happen to lava on the sun?
35,35: Should I Get Baptized if I Don't Believe?,"After blowing ones nose, why does one look into the Kleenex?"
35,35: Should I Get Baptized if I Don't Believe?,"Coconuts are hairy an make milk, are they mammals?"
35,35: Should I Get Baptized if I Don't Believe?,"When does the early 2000s become ""The Turn of the Century""?"
36,36: Grief Is Super Weird,Is there a secret planet opposite ours?
36,36: Grief Is Super Weird,Is strawberry flavor fooling us all?
36,36: Grief Is Super Weird,How can we be better listeners?
36,36: Grief Is Super Weird,Why do people ghost other people?
37,37: The Floridiest Place,How do you reattach John's head?
37,37: The Floridiest Place,Why aren't supreme court justices chosen more efficiently?
37,37: The Floridiest Place,How do you hug?
37,37: The Floridiest Place,Does Mars have seasons?
37,37: The Floridiest Place,Why don't people eat grass like cows?
